AGE_RANGE,GENERAL_ELECTION,CENTER_AXIS,GE14,GE15,NUMBER_OF_ELECTORS,SUM
18-20,GE15,0,,1393549,1393549,1393549
21-29,GE15,0,,4614429,4614429,4614429
30-39,GE15,0,,4681347,4681347,4681347
40-49,GE15,0,,3645248,3645248,3645248
50-59,GE15,0,,3027498,3027498,3027498
60-69,GE15,0,,2277071,2277071,2277071
70-79,GE15,0,,1093951,1093951,1093951
80-89,GE15,0,,353631,353631,353631
90+,GE15,0,,86914,86914,86914
18-20,GE14,0,0,,0,
21-29,GE14,0,1327380,,1327380,
30-39,GE14,0,1711272,,1711272,
40-49,GE14,0,1418064,,1418064,
50-59,GE14,0,1256299,,1256299,
60-69,GE14,0,831239,,831239,
70-79,GE14,0,370973,,370973,
80-89,GE14,0,113757,,113757,
90+,GE14,0,22728,,22728,
